sep=,
Air,01_La_femme_d_argent,0.270
Air,01_Venus,1.201
Air,03_Radio_1,0.354
Air,04_Kelly_Watch_The_Stars,0.479
Air,05_Radian,1.396
Air,08_Bossa_96_Demo_,0.399
Air,08_Ce_Matin_La,0.324
Air,1_Playground_Love_feat_Gordon_Tracks_,0.550
Air,10_Alone_In_Kyoto,0.276
Air,10_Le_Voyage_de_Penelope,0.418
Aphex_Twin,01_Xtal,0.398
Aphex_Twin,03_Pulsewidth,0.319
Aphex_Twin,04_Ageispolis,0.658
Aphex_Twin,06_Green_Calx,0.371
Aphex_Twin,07_Heliosphan,0.356
Aphex_Twin,08_We_are_the_music_makers,0.106
Aphex_Twin,09_Schottkey_7th_Path,0.286
Aphex_Twin,10_Ptolemy,0.323
Aphex_Twin,12_Delphium,0.238
Aphex_Twin,13_Actium,0.383
Arctic_Monkeys,01_Do_I_Wanna_Know,0.637
Arctic_Monkeys,02_R_U_Mine,0.440
Arctic_Monkeys,03_One_For_The_Road,0.460
Arctic_Monkeys,04_Arabella,0.722
Arctic_Monkeys,05_I_Want_It_All,0.483
Arctic_Monkeys,09_Why_d_You_Only_Call_Me_When_You_re_High,0.438
Arctic_Monkeys,11_Knee_Socks,0.629
Arctic_Monkeys,12_I_Wanna_Be_Yours,0.982
Bach,01_Prelude_Fugue_No_1_in_C_dur_BWV_846,0.226
Bach,02_Prelude_Fugue_No_2_in_c_moll_BWV_847,1.328
Bach,03_Prelude_Fugue_No_3_in_Cis_dur_BWV_848,1.312
Bach,04_Prelude_Fugue_No_4_in_cis_moll_BWV_849,0.286
Bach,05_Prelude_Fugue_No_5_in_D_dur_BWV_850,1.363
Bach,06_Prelude_Fugue_No_6_in_d_moll_BWV_851,1.789
Bach,07_Prelude_Fugue_No_7_in_Es_dur_BWV_852,0.769
Bach,08_Prelude_Fugue_No_8_in_es_moll_BWV_853,1.009
Bach,09_Prelude_Fugue_No_9_in_E_dur_BWV_854,1.610
Bach,10_Prelude_Fugue_No_10_in_e_moll_BWV_855,0.695
Bach,11_Prelude_Fugue_No_11_in_F_dur_BWV_856,0.424
Bach,12_Prelude_Fugue_No_12_in_f_moll_BWV_857,0.114
Bach,13_Prelude_Fugue_No_13_in_Fis_dur_BWV_858,1.020
Bach,14_Prelude_Fugue_No_14_in_fis_moll_BWV_859,0.452
Best_of_Eurodance,Bob_Sinclar_World_Hold_On,0.398
Best_of_Eurodance,Corona_Rhythm_of_the_night,0.353
Best_of_Eurodance,Eric_Prydz_Call_On_Me,0.419
Best_of_Eurodance,Eric_Prydz_Pjanoo,0.464
Best_of_Eurodance,Kelly_Rowland_Work,0.384
Best_of_Eurodance,Modjo_Lady,0.313
Best_of_Eurodance,Roger_Sanchez_Lost,0.329
Best_of_Eurodance,Room_5_Make_Luv,0.458
Best_of_Eurodance,Stardust_The_Music_Sounds_Better_with_You,0.349
Best_of_Eurodance,Supermode_Tell_Me_Why,0.094
Cannibal_Corpse,01_Savage_Butchery,0.256
Cannibal_Corpse,02_Hatchet_To_The_Head,0.525
Cannibal_Corpse,03_Pit_Of_Zombies,0.352
Cannibal_Corpse,04_Dormant_Bodies_Bursting,0.436
Cannibal_Corpse,05_Compelled_To_Lacerate,0.391
Cannibal_Corpse,06_Drowning_In_Viscera,0.315
Cannibal_Corpse,07_Hung_And_Bled,0.470
Cannibal_Corpse,08_Sanded_Faceless,0.427
Cannibal_Corpse,09_Mutation_Of_The_Cadaver,0.671
Cannibal_Corpse,10_When_Death_Replaces_Life,0.582
Cannibal_Corpse,11_Grotesque,0.361
Cannibal_Corpse,12_No_Remorse_Bonus_Track_,0.516
Cannibal_Corpse,01_Hammer_Smashed_Face,0.579
Cannibal_Corpse,02_The_Exorcist,0.265
Cannibal_Corpse,03_Zero_The_Hero,0.473
Cannibal_Corpse,04_Meat_Hook_Sodomy,1.446
Cannibal_Corpse,05_Shredded_Humans,0.455
Chuck_Berry,01_Almost_Grown,0.531
Chuck_Berry,02_Carol,0.429
Chuck_Berry,03_Maybellene,0.351
Chuck_Berry,04_Sweet_Little_Rock_Roller,0.354
Chuck_Berry,05_Anthony_Boy,0.426
Chuck_Berry,06_Johnny_B_Goode,0.387
Chuck_Berry,07_Little_Queenie,0.363
Chuck_Berry,08_Jo_Jo_Gunne,0.391
Chuck_Berry,09_Roll_Over_Beethoven,0.368
Chuck_Berry,10_Around_And_Around,0.424
Ciggaretes_After_Sex,01_Affection,0.496
Ciggaretes_After_Sex,01_K_,0.578
Ciggaretes_After_Sex,01_Nothing_s_Gonna_Hurt_You_Baby,0.571
Ciggaretes_After_Sex,02_I_m_a_Firefighter,0.670
Ciggaretes_After_Sex,02_Keep_On_Loving_You,0.404
Ciggaretes_After_Sex,03_Dreaming_of_You,0.660
Ciggaretes_After_Sex,04_Starry_Eyes,0.447
Daft_Punk,01_One_More_Time,0.430
Daft_Punk,02_Aerodynamic,0.282
Daft_Punk,03_Digital_Love,0.340
Daft_Punk,04_Harder_Better_Faster_Stronger,0.323
Daft_Punk,08_High_Life,0.312
Daft_Punk,09_Something_About_Us,0.426
Daft_Punk,10_Voyager,0.364
Daft_Punk,13_Face_to_Face,0.511
Depeche_Mode,01_Depeche_Mode_World_In_My_Eyes,0.381
Depeche_Mode,02_Depeche_Mode_Sweetest_Perfection,0.325
Depeche_Mode,03_Depeche_Mode_Personal_Jesus,0.510
Depeche_Mode,04_Depeche_Mode_Halo,0.278
Depeche_Mode,05_Depeche_Mode_Waiting_For_The_Night,0.747
Depeche_Mode,06_Depeche_Mode_Enjoy_The_Silence,0.375
Depeche_Mode,07_Depeche_Mode_Policy_Of_Truth,0.293
Depeche_Mode,09_Depeche_Mode_Clean,0.578
Jamie_xx,01_Gosh,0.269
Jamie_xx,02_Sleep_Sound,1.123
Jamie_xx,03_SeeSaw_feat_Romy_,0.363
Jamie_xx,04_Obvs,0.547
Jamie_xx,06_Stranger_In_A_Room_feat_Oliver_Sim_,0.554
Jamie_xx,07_Hold_Tight,0.520
Jamie_xx,08_Loud_Places_feat_Romy_,0.830
Jamie_xx,09_I_Know_There_s_Gonna_Be_Good_Times_feat_Young_Thug_and_Popcaan_,0.419
Jamie_xx,10_The_Rest_Is_Noise,0.366
Jamie_xx,11_Girl,0.976
Jamie_xx,01_Far_Nearer,0.602
Jamie_xx,01_Radiohead_Bloom_Jamie_xx_Rework_Part_3_,0.461
Jamie_xx,01_The_xx_Sunset_Jamie_xx_Edit_,0.204
Jamie_xx,02_The_xx_Reconsider_Jamie_xx_Edit_,0.816
Ludovico_Einaudi,01_Ludovico_Einaudi_Uno,0.526
Ludovico_Einaudi,02_Ludovico_Einaudi_Divenire,0.624
Ludovico_Einaudi,03_Ludovico_Einaudi_Monday,1.082
Ludovico_Einaudi,04_Ludovico_Einaudi_Andare,0.422
Ludovico_Einaudi,05_Ludovico_Einaudi_Rose,1.192
Ludovico_Einaudi,06_Ludovico_Einaudi_Primavera,0.705
Ludovico_Einaudi,07_Ludovico_Einaudi_Oltremare,1.095
Ludovico_Einaudi,08_Ludovico_Einaudi_L_origine_Nascosta,1.291
Ludovico_Einaudi,09_Ludovico_Einaudi_Fly,0.232
Ludovico_Einaudi,10_Ludovico_Einaudi_Ascolta,0.906
Marvin_Gaye,01_What_s_Going_On,0.478
Marvin_Gaye,02_What_s_Happening_Brother,0.401
Marvin_Gaye,03_Flyin_High_In_The_Friendly_Sky_,0.640
Marvin_Gaye,04_Save_The_Children,0.599
Marvin_Gaye,05_God_Is_Love,0.353
Marvin_Gaye,06_Mercy_Mercy_Me_The_Ecology_,0.376
Marvin_Gaye,07_Right_On,0.262
Marvin_Gaye,08_Wholy_Holy,0.743
Marvin_Gaye,09_Inner_City_Blues_Make_Me_Wanna_Holler_,0.521
