sep=,
Air,01_La_femme_d_argent,253.806
Air,01_Venus,57.617
Air,03_Radio_1,421.056
Air,04_Kelly_Watch_The_Stars,268.872
Air,05_Radian,347.587
Air,08_Bossa_96_Demo_,117.056
Air,08_Ce_Matin_La,218.716
Air,1_Playground_Love_feat_Gordon_Tracks_,524.737
Air,10_Alone_In_Kyoto,114.811
Air,10_Le_Voyage_de_Penelope,265.328
Aphex_Twin,01_Xtal,625.318
Aphex_Twin,03_Pulsewidth,1227.972
Aphex_Twin,04_Ageispolis,882.846
Aphex_Twin,06_Green_Calx,254.799
Aphex_Twin,07_Heliosphan,669.302
Aphex_Twin,08_We_are_the_music_makers,417.620
Aphex_Twin,09_Schottkey_7th_Path,321.446
Aphex_Twin,10_Ptolemy,315.298
Aphex_Twin,12_Delphium,617.329
Aphex_Twin,13_Actium,752.770
Arctic_Monkeys,01_Do_I_Wanna_Know,139.180
Arctic_Monkeys,02_R_U_Mine,214.514
Arctic_Monkeys,03_One_For_The_Road,286.122
Arctic_Monkeys,04_Arabella,201.737
Arctic_Monkeys,05_I_Want_It_All,406.683
Arctic_Monkeys,09_Why_d_You_Only_Call_Me_When_You_re_High,217.748
Arctic_Monkeys,11_Knee_Socks,434.849
Arctic_Monkeys,12_I_Wanna_Be_Yours,172.994
Bach,01_Prelude_Fugue_No_1_in_C_dur_BWV_846,7.950
Bach,02_Prelude_Fugue_No_2_in_c_moll_BWV_847,20.093
Bach,03_Prelude_Fugue_No_3_in_Cis_dur_BWV_848,19.240
Bach,04_Prelude_Fugue_No_4_in_cis_moll_BWV_849,4.044
Bach,05_Prelude_Fugue_No_5_in_D_dur_BWV_850,26.330
Bach,06_Prelude_Fugue_No_6_in_d_moll_BWV_851,16.302
Bach,07_Prelude_Fugue_No_7_in_Es_dur_BWV_852,4.631
Bach,08_Prelude_Fugue_No_8_in_es_moll_BWV_853,16.771
Bach,09_Prelude_Fugue_No_9_in_E_dur_BWV_854,16.666
Bach,10_Prelude_Fugue_No_10_in_e_moll_BWV_855,14.430
Bach,11_Prelude_Fugue_No_11_in_F_dur_BWV_856,31.807
Bach,12_Prelude_Fugue_No_12_in_f_moll_BWV_857,7.577
Bach,13_Prelude_Fugue_No_13_in_Fis_dur_BWV_858,7.248
Bach,14_Prelude_Fugue_No_14_in_fis_moll_BWV_859,11.709
Best_of_Eurodance,Bob_Sinclar_World_Hold_On,814.856
Best_of_Eurodance,Corona_Rhythm_of_the_night,109.092
Best_of_Eurodance,Eric_Prydz_Call_On_Me,293.261
Best_of_Eurodance,Eric_Prydz_Pjanoo,1154.677
Best_of_Eurodance,Kelly_Rowland_Work,312.994
Best_of_Eurodance,Modjo_Lady,718.472
Best_of_Eurodance,Roger_Sanchez_Lost,894.414
Best_of_Eurodance,Room_5_Make_Luv,119.606
Best_of_Eurodance,Stardust_The_Music_Sounds_Better_with_You,1607.811
Best_of_Eurodance,Supermode_Tell_Me_Why,237.726
Cannibal_Corpse,01_Savage_Butchery,109.418
Cannibal_Corpse,02_Hatchet_To_The_Head,89.824
Cannibal_Corpse,03_Pit_Of_Zombies,71.895
Cannibal_Corpse,04_Dormant_Bodies_Bursting,79.372
Cannibal_Corpse,05_Compelled_To_Lacerate,98.980
Cannibal_Corpse,06_Drowning_In_Viscera,97.735
Cannibal_Corpse,07_Hung_And_Bled,85.513
Cannibal_Corpse,08_Sanded_Faceless,65.302
Cannibal_Corpse,09_Mutation_Of_The_Cadaver,103.513
Cannibal_Corpse,10_When_Death_Replaces_Life,79.789
Cannibal_Corpse,11_Grotesque,92.441
Cannibal_Corpse,12_No_Remorse_Bonus_Track_,84.458
Cannibal_Corpse,01_Hammer_Smashed_Face,10.213
Cannibal_Corpse,02_The_Exorcist,52.898
Cannibal_Corpse,03_Zero_The_Hero,22.463
Cannibal_Corpse,04_Meat_Hook_Sodomy,5.586
Cannibal_Corpse,05_Shredded_Humans,20.978
Chuck_Berry,01_Almost_Grown,32.733
Chuck_Berry,02_Carol,45.382
Chuck_Berry,03_Maybellene,43.357
Chuck_Berry,04_Sweet_Little_Rock_Roller,70.491
Chuck_Berry,05_Anthony_Boy,55.466
Chuck_Berry,06_Johnny_B_Goode,63.188
Chuck_Berry,07_Little_Queenie,28.781
Chuck_Berry,08_Jo_Jo_Gunne,97.871
Chuck_Berry,09_Roll_Over_Beethoven,80.510
Chuck_Berry,10_Around_And_Around,84.586
Ciggaretes_After_Sex,01_Affection,371.050
Ciggaretes_After_Sex,01_K_,311.581
Ciggaretes_After_Sex,01_Nothing_s_Gonna_Hurt_You_Baby,157.038
Ciggaretes_After_Sex,02_I_m_a_Firefighter,135.110
Ciggaretes_After_Sex,02_Keep_On_Loving_You,650.049
Ciggaretes_After_Sex,03_Dreaming_of_You,70.665
Ciggaretes_After_Sex,04_Starry_Eyes,147.898
Daft_Punk,01_One_More_Time,437.715
Daft_Punk,02_Aerodynamic,42.363
Daft_Punk,03_Digital_Love,41.807
Daft_Punk,04_Harder_Better_Faster_Stronger,36.640
Daft_Punk,08_High_Life,23.503
Daft_Punk,09_Something_About_Us,79.118
Daft_Punk,10_Voyager,782.828
Daft_Punk,13_Face_to_Face,342.478
Depeche_Mode,01_Depeche_Mode_World_In_My_Eyes,124.927
Depeche_Mode,02_Depeche_Mode_Sweetest_Perfection,87.551
Depeche_Mode,03_Depeche_Mode_Personal_Jesus,96.161
Depeche_Mode,04_Depeche_Mode_Halo,84.443
Depeche_Mode,05_Depeche_Mode_Waiting_For_The_Night,52.967
Depeche_Mode,06_Depeche_Mode_Enjoy_The_Silence,141.542
Depeche_Mode,07_Depeche_Mode_Policy_Of_Truth,100.680
Depeche_Mode,09_Depeche_Mode_Clean,142.590
Jamie_xx,01_Gosh,3621.510
Jamie_xx,02_Sleep_Sound,1735.685
Jamie_xx,03_SeeSaw_feat_Romy_,569.022
Jamie_xx,04_Obvs,281.388
Jamie_xx,06_Stranger_In_A_Room_feat_Oliver_Sim_,208.531
Jamie_xx,07_Hold_Tight,170.015
Jamie_xx,08_Loud_Places_feat_Romy_,354.573
Jamie_xx,09_I_Know_There_s_Gonna_Be_Good_Times_feat_Young_Thug_and_Popcaan_,593.764
Jamie_xx,10_The_Rest_Is_Noise,351.617
Jamie_xx,11_Girl,430.214
Jamie_xx,01_Far_Nearer,44.855
Jamie_xx,01_Radiohead_Bloom_Jamie_xx_Rework_Part_3_,239.833
Jamie_xx,01_The_xx_Sunset_Jamie_xx_Edit_,124.418
Jamie_xx,02_The_xx_Reconsider_Jamie_xx_Edit_,74.648
Ludovico_Einaudi,01_Ludovico_Einaudi_Uno,13.225
Ludovico_Einaudi,02_Ludovico_Einaudi_Divenire,12.486
Ludovico_Einaudi,03_Ludovico_Einaudi_Monday,26.290
Ludovico_Einaudi,04_Ludovico_Einaudi_Andare,101.729
Ludovico_Einaudi,05_Ludovico_Einaudi_Rose,12.639
Ludovico_Einaudi,06_Ludovico_Einaudi_Primavera,23.297
Ludovico_Einaudi,07_Ludovico_Einaudi_Oltremare,23.161
Ludovico_Einaudi,08_Ludovico_Einaudi_L_origine_Nascosta,42.397
Ludovico_Einaudi,09_Ludovico_Einaudi_Fly,80.580
Ludovico_Einaudi,10_Ludovico_Einaudi_Ascolta,36.721
Marvin_Gaye,01_What_s_Going_On,30.386
Marvin_Gaye,02_What_s_Happening_Brother,48.853
Marvin_Gaye,03_Flyin_High_In_The_Friendly_Sky_,29.924
Marvin_Gaye,04_Save_The_Children,40.599
Marvin_Gaye,05_God_Is_Love,37.027
Marvin_Gaye,06_Mercy_Mercy_Me_The_Ecology_,72.798
Marvin_Gaye,07_Right_On,54.538
Marvin_Gaye,08_Wholy_Holy,117.359
Marvin_Gaye,09_Inner_City_Blues_Make_Me_Wanna_Holler_,31.556
Massive_Attack,01_Angel,353.453
Massive_Attack,02_Risingson,302.166
Massive_Attack,03_Teardrop,389.995
Massive_Attack,04_Inertia_Creeps,175.767
Massive_Attack,05_Exchange,177.295
Massive_Attack,06_Dissolved_Girl,403.218
Massive_Attack,07_Man_Next_Door,296.201
Massive_Attack,09_Mezzanine,415.787
Moby,01_Honey,183.267
Moby,02_Find_My_Baby,301.225
Moby,03_Porcelain,828.544
Moby,04_Why_Does_My_Heart_Feel_So_Bad,1505.665
Moby,06_Rushing,261.927
Moby,07_Bodyrock,759.533
Moby,08_Natural_Blues,169.872
Pink_Floyd,02_Breathe,22.629
Pink_Floyd,03_On_The_Run,24.587
Pink_Floyd,04_Time,99.612
Pink_Floyd,05_The_Greate_Gig_In_The_Sky,85.237
Pink_Floyd,06_Money,18.708
Pink_Floyd,07_Us_And_Them,13.477
Pink_Floyd,08_Any_Colour_You_Like,67.441
Pink_Floyd,09_Brain_Damage,28.910
Pink_Floyd,10_Eclipse,127.975
Queen,A_Kind_Of_Magic,23.060
Queen,Another_One_Bites_The_Dust,317.115
Queen,Bohemian_Rhapsody,21.181
Queen,Don_t_Stop_Me_Now,50.080
Queen,Friends_Will_Be_Friends,40.598
Queen,I_Want_It_All,21.840
Queen,I_Want_To_Break_Free,27.190
Queen,Radio_Ga_Ga,23.467
Queen,Somebody_To_Love,30.150
Queen,The_Show_Must_Go_On,34.380
Queen,Under_Pressure,135.843
Queen,We_Are_The_Champions,38.607
Queen,We_Will_Rock_You,40.451
Queen,You_Don_t_Fool_Me,126.038
Radiohead,Radiohead_01_15_Step,242.148
Radiohead,Radiohead_02_Bodysnatchers,234.022
Radiohead,Radiohead_02_Down_is_the_New_Up,175.518
Radiohead,Radiohead_03_Go_Slowly,479.381
Radiohead,Radiohead_03_Nude,344.840
Radiohead,Radiohead_06_Faust_Arp,167.549
Radiohead,Radiohead_07_Reckoner,134.001
Radiohead,Radiohead_08_House_Of_Cards,878.605
Radiohead,Radiohead_10_Videotape,377.082
The_Beatles,01_Drive_My_Car_,22.364
The_Beatles,02_Norwegian_Wood_,96.690
The_Beatles,03_You_Won_t_See_Me_,25.254
The_Beatles,04_Nowhere_Man_,21.316
The_Beatles,05_Think_For_Yourself_,26.924
The_Beatles,07_Michelle_,51.859
The_Beatles,08_What_Goes_On_,16.215
The_Beatles,09_Girl_,44.073
The_Prodigy,01_The_Prodigy_Smack_My_Bitch_Up,1563.128
The_Prodigy,02_The_Prodigy_Breathe,804.191
The_Prodigy,03_The_Prodigy_Diesel_Power,1747.196
The_Prodigy,04_The_Prodigy_Funky_Shit,613.726
The_Prodigy,05_The_Prodigy_Serila_Thrilla,525.180
The_Prodigy,06_The_Prodigy_Mindfields,228.723
The_Prodigy,07_The_Prodigy_Narayan,674.297
The_Prodigy,08_The_Prodigy_Firestarter,466.483
The_Prodigy,09_The_Prodigy_Climbatize,15.223
The_Prodigy,10_The_Prodigy_Fuel_My_Fire,617.239
The_xx,01_Angels,166.590
The_xx,02_Chained,425.810
The_xx,03_Fiction,98.009
The_xx,05_Reunion,77.929
The_xx,06_Sunset,1009.610
The_xx,07_Missing,173.545
The_xx,08_Tides,219.229
The_xx,09_Unfold,71.757
The_xx,10_Swept_Away,131.096
The_xx,01_Dangerous,1557.402
The_xx,02_Say_Something_Loving,551.810
The_xx,03_Lips,2164.631
The_xx,04_A_Violent_Noise,145.652
The_xx,05_Performance,186.968
The_xx,06_Replica,131.488
The_xx,07_Brave_For_You,103.824
The_xx,08_On_Hold,734.552
The_xx,09_I_Dare_You,870.373
The_xx,10_Test_Me,134.401
