sep=,
Air,01_La_femme_d_argent,0.043
Air,01_Venus,0.055
Air,03_Radio_1,0.083
Air,04_Kelly_Watch_The_Stars,0.082
Air,05_Radian,0.022
Air,08_Bossa_96_Demo_,0.041
Air,08_Ce_Matin_La,0.056
Air,1_Playground_Love_feat_Gordon_Tracks_,0.045
Air,10_Alone_In_Kyoto,0.033
Air,10_Le_Voyage_de_Penelope,0.035
Aphex_Twin,01_Xtal,0.041
Aphex_Twin,03_Pulsewidth,0.022
Aphex_Twin,04_Ageispolis,0.026
Aphex_Twin,06_Green_Calx,0.065
Aphex_Twin,07_Heliosphan,0.055
Aphex_Twin,08_We_are_the_music_makers,0.055
Aphex_Twin,09_Schottkey_7th_Path,0.088
Aphex_Twin,10_Ptolemy,0.049
Aphex_Twin,12_Delphium,0.063
Aphex_Twin,13_Actium,0.024
Arctic_Monkeys,01_Do_I_Wanna_Know,0.072
Arctic_Monkeys,02_R_U_Mine,0.083
Arctic_Monkeys,03_One_For_The_Road,0.056
Arctic_Monkeys,04_Arabella,0.120
Arctic_Monkeys,05_I_Want_It_All,0.057
Arctic_Monkeys,09_Why_d_You_Only_Call_Me_When_You_re_High,0.097
Arctic_Monkeys,11_Knee_Socks,0.074
Arctic_Monkeys,12_I_Wanna_Be_Yours,0.075
Bach,01_Prelude_Fugue_No_1_in_C_dur_BWV_846,0.027
Bach,02_Prelude_Fugue_No_2_in_c_moll_BWV_847,0.052
Bach,03_Prelude_Fugue_No_3_in_Cis_dur_BWV_848,0.054
Bach,04_Prelude_Fugue_No_4_in_cis_moll_BWV_849,0.039
Bach,05_Prelude_Fugue_No_5_in_D_dur_BWV_850,0.055
Bach,06_Prelude_Fugue_No_6_in_d_moll_BWV_851,0.050
Bach,07_Prelude_Fugue_No_7_in_Es_dur_BWV_852,0.034
Bach,08_Prelude_Fugue_No_8_in_es_moll_BWV_853,0.052
Bach,09_Prelude_Fugue_No_9_in_E_dur_BWV_854,0.056
Bach,10_Prelude_Fugue_No_10_in_e_moll_BWV_855,0.050
Bach,11_Prelude_Fugue_No_11_in_F_dur_BWV_856,0.053
Bach,12_Prelude_Fugue_No_12_in_f_moll_BWV_857,0.044
Bach,13_Prelude_Fugue_No_13_in_Fis_dur_BWV_858,0.050
Bach,14_Prelude_Fugue_No_14_in_fis_moll_BWV_859,0.044
Best_of_Eurodance,Bob_Sinclar_World_Hold_On,0.088
Best_of_Eurodance,Corona_Rhythm_of_the_night,0.142
Best_of_Eurodance,Eric_Prydz_Call_On_Me,0.168
Best_of_Eurodance,Eric_Prydz_Pjanoo,0.104
Best_of_Eurodance,Kelly_Rowland_Work,0.130
Best_of_Eurodance,Modjo_Lady,0.099
Best_of_Eurodance,Roger_Sanchez_Lost,0.151
Best_of_Eurodance,Room_5_Make_Luv,0.151
