sep=,
classical,_Impromptu_Op_90_D899_No_3_in_G_Flat_Major_by_Franz_Schubert,0.423
classical,_Wiegenlied_Op_98_No_2_D_498_Schubert_JANET_BAKER,0.677
classical,22_Samson_and_Delilah_Op_47_Act_2_Mon_coeur_s_ouvre_a_,0.534
classical,_Oravecz_Gyo_rgy_Liszt_Fantasia_on_Hungarian_Folk_Melodies_for_Piano_Orchestra,1.427
classical,A_Borodin_String_Quartet_No_2_in_D_Major_IV_Finale_Andante_Vivace_Kontras_Quartet_,0.513
classical,A_Vivaldi_Concerto_for_flautino_strings_b_c_in_C_major_RV_444_Amarillis,0.524
classical,Alexander_Borodin_Polovtsian_Dance_No_3_allegro_with_chorus,1.108
classical,Anton_Bruckner_Symphony_No_9_in_D_Minor_Daniel_Barenboim_Berlin_Philharmonic_Orchestra_,0.543
classical,Anton_Bruckner_Symphony_No_4_in_E_flat_Major_Romantic_Barenboim_Full_,0.512
classical,Antonio_Vivaldi_Concerto_RV_315_op_8_2_L_Estate_3_Presto,0.457
classical,Antonio_Vivaldi_Violin_Concerto_in_A_minor,0.367
classical,Antonio_Vivaldi_Concerto_in_C_major_for_Guitar_Strings_and_Continuo,0.561
classical,Antonio_Vivaldi_Concerto_in_D_Major_RV_230_Op_3_No_9,0.583
classical,Beethoven_Piano_Sonata_No_17_Op_31_2_Tempest_III_Allegretto_Kempff_,0.329
classical,Beethoven_Piano_Sonata_No_8_Op_13_Pathe_tique_II_Adagio_cantabile_Ashkenazy_,0.535
classical,Beethoven_Bagatelle_no_25_in_A_minor_WoO_59_Fur_Elise_,0.562
classical,Boccherini_Cello_Concerto_No_9_G_482_B_flat_major_Allegro_Moderato_Adagio_non_troppo,0.511
classical,Borodin_Quartet_No_2_in_D_major_for_Strings_I_Allegro_moderato,0.943
classical,Borodin_Quartet_No_2_in_D_major_for_Strings_III_Notturno_Andante,0.587
classical,Boston_Symphony_Orchestra_Charles_Munch_Daphnis_et_Chloe_Suite_No_2_M_57b_II_Pantomine,1.508
classical,Bruckner_Symphony_No_8_in_C_minor_IV_Finale_Feierlich_nicht_schnell,0.542
classical,Bruckner_Symphony_3_in_D_Minor_Wagner_II_Adagio_bewegt_quasi_andante,0.81
classical,Bruckner_Symphony_No_4_Celibidache_Mu_nchner_Philharmoniker_1983_Herkulessaal_Live,1.147
classical,BWV_538_Toccata_Fugue_in_D_Minor_Dorian_Scrolling_,0.526
classical,Chopin_Waltz_no_6_in_D_flat_Op_64_no_1_Minute_Waltz_,0.549
classical,Claude_Debussy_Clair_de_Lune_for_Piano_Suite_Bergamasque_No_3_L_75_3,0.614
classical,Claude_Debussy_Prelude_a_l_apres_midi_d_un_Faune_Prelude_to_the_afternoon_of_a_Faun_,0.917
classical,Claude_Debussy_Syrinx_for_solo_flute_Performed_by_Emmanuel_Pahud_,1.114
