sep=,
classical,_Impromptu_Op_90_D899_No_3_in_G_Flat_Major_by_Franz_Schubert,29.214
classical,_Wiegenlied_Op_98_No_2_D_498_Schubert_JANET_BAKER,0.39
classical,22_Samson_and_Delilah_Op_47_Act_2_Mon_coeur_s_ouvre_a_,10.329
classical,_Oravecz_Gyo_rgy_Liszt_Fantasia_on_Hungarian_Folk_Melodies_for_Piano_Orchestra,5.961
classical,A_Borodin_String_Quartet_No_2_in_D_Major_IV_Finale_Andante_Vivace_Kontras_Quartet_,8.511
classical,A_Vivaldi_Concerto_for_flautino_strings_b_c_in_C_major_RV_444_Amarillis,6.262
classical,Alexander_Borodin_Polovtsian_Dance_No_3_allegro_with_chorus,27.493
classical,Anton_Bruckner_Symphony_No_9_in_D_Minor_Daniel_Barenboim_Berlin_Philharmonic_Orchestra_,24.293
classical,Anton_Bruckner_Symphony_No_4_in_E_flat_Major_Romantic_Barenboim_Full_,1.011
classical,Antonio_Vivaldi_Concerto_RV_315_op_8_2_L_Estate_3_Presto,8.598
classical,Antonio_Vivaldi_Violin_Concerto_in_A_minor,2.372
classical,Antonio_Vivaldi_Concerto_in_C_major_for_Guitar_Strings_and_Continuo,9.862
classical,Antonio_Vivaldi_Concerto_in_D_Major_RV_230_Op_3_No_9,22.189
classical,Beethoven_Piano_Sonata_No_17_Op_31_2_Tempest_III_Allegretto_Kempff_,58.021
classical,Beethoven_Piano_Sonata_No_8_Op_13_Pathe_tique_II_Adagio_cantabile_Ashkenazy_,5.658
classical,Beethoven_Bagatelle_no_25_in_A_minor_WoO_59_Fur_Elise_,0.705
classical,Boccherini_Cello_Concerto_No_9_G_482_B_flat_major_Allegro_Moderato_Adagio_non_troppo,5.661
classical,Borodin_Quartet_No_2_in_D_major_for_Strings_I_Allegro_moderato,35.132
classical,Borodin_Quartet_No_2_in_D_major_for_Strings_III_Notturno_Andante,10.705
classical,Boston_Symphony_Orchestra_Charles_Munch_Daphnis_et_Chloe_Suite_No_2_M_57b_II_Pantomine,2.289
