tag;artist_song;bpm_median;bpm_std;centroid_mean;centroid_std;onset_regular;onset_strength_mean;onset_strength_std;self-correlation;spectral_contrast_mean;spectral_contrast_std;spectral_flux_mean;spectral_flux_std;spectral_rolloff_mean;spectral_rolloff_std;spectral_bandwidth_mean;spectral_bandwidth_std;volume_mean;volume_std;zero_cross;cepstral_mean1;cepstral_mean2;cepstral_mean3;cepstral_mean4;cepstral_mean5;cepstral_mean6;cepstral_mean7;cepstral_mean8;cepstral_mean9;cepstral_mean10;cepstral_std1;cepstral_std2;cepstral_std3;cepstral_std4;cepstral_std5;cepstral_std6;cepstral_std7;cepstral_std8;cepstral_std9;cepstral_std10
happy;_100_Times_Over_by_Cassia_Acoustic;112.347146739;27.3401662524;1836.66054121;852.681206939;0.583;0.395669214974;0.152063729959;47.416;3.97622;1.52845;2.75331;3.04824;6261.47554456;892.911992576;1998.49609733;314.711409045;-14.1732;14.7196;0.077;-146.445891173;117.802395843;-6.70769447664;25.4976853392;-5.00571048033;21.4645578988;-12.6400674876;16.1695786844;-15.4395200049;5.57758581304;41.7499633029;33.8835891449;22.27407014;17.662123403;11.2808466835;8.163437381;13.3055057468;10.505339065;13.4291788901;8.68514203335
happy;_And_the_glory_of_the_Lord_HWV_56_No_4_for_Winds_Strings;151.999080882;27.1127026036;1488.2428819;331.691477681;0.589;0.394543519795;0.123202553558;66.092;3.39057;1.11108;0.794413;0.687273;4469.59560791;863.725617498;1473.61794953;233.57431555;-21.2067;15.7558;0.083;-192.253346232;133.289987526;-53.1318658696;17.7683890722;-23.4809524064;-12.2706119487;-17.2673970135;-11.725951122;-17.1934292496;-9.89596585135;48.8566817121;28.3836086857;13.5583511422;7.37304049167;9.27165874005;8.47945209243;9.19028918027;7.93486046406;8.59904718574;7.74301435191
happy;_D_VARIATIONS_by_Frankie_Chavez;129.19921875;38.3088440987;1273.65750907;414.693819933;0.474;0.371121010309;0.157090790418;31.52;2.04937;0.796004;0.532822;0.907441;5394.88596947;1325.80957067;1811.53266516;399.650425548;-22.8036;13.9463;0.047;-225.405533147;128.390411829;7.63164917148;43.3832840746;-1.66375049977;22.741104752;3.50898641026;4.40356827639;-1.99091458615;-0.215187321839;49.9935194458;27.7019605744;12.5716705969;11.5383348843;9.36679043875;9.09958540028;9.088908588;8.49140403005;8.47138275247;8.62956144732
happy;_DECEMBER_21st_2012_by_Frankie_Chavez;99.3840144231;29.4059003842;1716.63156645;673.743937199;0.851;0.364675150432;0.149580283064;362.942;7.86778;2.99048;11.1603;11.8122;5569.18868797;1472.71679143;1857.66467276;409.990873181;-8.29703;15.5658;0.079;-82.806696571;120.609576079;-17.3295996591;43.6578704696;4.8707910816;12.6218656977;1.64066187399;4.96947086559;-1.82424883455;3.53068783913;60.9164259427;34.3944987631;22.5108481544;17.7845000611;12.1445777405;11.7523949927;13.2839171863;10.475993156;10.6364884425;10.8501674396
happy;_Dr_Atomic_de_John_Adams_presento_la_intensidad_de_la_furia_de_1945;123.046875;32.1013276807;1877.20476115;890.156494645;1.594;0.333361597653;0.149838531012;0.669;0.496098;0.426129;0.0734006;0.118258;5351.39464801;1573.27958019;1738.33189625;396.712859222;-32.7694;15.4955;0.11;-371.972576916;118.602811735;-37.7126674074;36.5002487131;13.7711511352;3.23185285647;-13.7039365238;1.98603381914;-6.02584909592;-5.17388616707;79.511159282;45.5409638594;26.717527349;20.1188675048;16.8279076691;15.0677055406;12.8434222412;10.090372456;10.9134969939;10.6675776859
happy;_His_Yoke_is_Easy_HWV_56_No_21_for_Winds_Strings;151.999080882;29.0408402292;1288.76600859;181.839787265;0.618;0.277743420467;0.0949680649831;38.175;3.17904;0.823465;0.889639;0.780599;3964.05898596;535.100879265;1353.1164685;162.584456607;-20.8886;15.324;0.071;-191.16278722;147.723315783;-49.5321692187;19.2141365921;-22.1965592917;-14.7620054966;-14.4149604959;-12.3035787987;-15.3454018891;-11.0664849359;39.087938058;18.6535614956;11.6760903943;10.3063447006;10.3130164204;9.14499975308;10.9197312093;8.48442555249;7.48364179088;8.39404828728
happy;_Just_A_Sip_Official_Video;117.453835227;25.4350074048;2846.69557427;690.261244112;0.484;0.326636860478;0.155165629641;169.365;11.0918;2.4135;15.0228;10.0144;8392.43781853;855.272829538;2704.67016918;328.105360048;3.66038;12.5145;0.139;11.3560261583;73.6093871873;2.70287883635;31.2187873199;8.19113162608;13.3872145777;-3.48269375009;14.352082818;-0.983321766153;2.5175330355;36.0304077854;22.8417858879;19.7189948172;13.0066099812;9.76624487477;8.72514818168;8.51472209361;9.74268252701;8.15568020424;7.41095264476
happy;_O_Thou_that_Tellest_Good_Tidings_to_Zion_HWV_56_No_9_for_Flute_Strings;172.265625;22.9591770763;1635.20845334;314.846771239;0.426;0.480328056584;0.102754658947;79.083;3.85547;0.770639;1.83634;1.57762;4898.15384062;803.1953888;1600.17594017;215.700664987;-16.871;14.8928;0.085;-156.300588573;116.146632574;-54.3351537524;21.6427537625;-21.6911097854;-11.4913185255;-19.900751199;-6.42588397284;-7.35511089645;-4.16912512927;25.9167854472;20.240597105;10.3847097171;8.32105691828;6.67556856595;7.91966140995;7.50212828353;10.5071322981;10.456927703;11.1992125643
happy;_Rejoice_Greatly_O_Daughter_of_Zion_HWV_56_No_18_for_Clarinet_Strings;103.359375;30.1819546867;1645.93828973;328.224610104;0.655;0.347227301939;0.0912557288393;19.028;2.34764;0.511343;0.612899;0.387073;4786.15743911;973.664186765;1567.1523861;265.283255195;-21.7024;15.5504;0.095;-214.491489716;119.229655587;-57.5869900312;31.6390643191;-14.3066132665;-6.45728185931;-15.6026561939;-9.70606578645;-13.2397404294;-6.15008915856;39.3185047541;30.9683771104;15.9598962125;11.2310924247;11.3425634475;10.3364695113;9.42310138012;11.8838878138;11.3482559237;12.1547487365
happy;_Rustle_of_Springs_Op_32_No_1_by_Christian_Sinding_;99.3840144231;26.7680437874;936.347515424;140.2524963;0.504;0.388141404715;0.141603232942;43.383;3.36691;0.881566;1.23268;1.41188;2516.81027935;564.605437557;884.135417581;122.742338642;-24.6314;15.703;0.058;-221.453960559;203.218443375;-35.7630092297;-6.25377317116;-14.5745336366;-9.20065030727;-11.9508920754;-25.8699017665;-3.07977379568;-5.55973899798;26.6211603044;15.243075613;13.8990130622;9.81929966437;11.649720244;8.73835314275;9.5452102606;9.36727643737;7.69036593501;8.38204812424
