tag;artist;song;popularity;id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
pop_govno;Kendrick Lamar;DNA.;80;4cGeMgLcykDLAazHFpbZbU;0.636;0.517;0;-6.759;1;0.36;0.00402;0;0.0874;0.391;139.928;185947
pop_govno;Kendrick Lamar;BLOOD.;64;3ZFwFe104aquLWAwagKgtg;0.513;0.237;8;-16.683;0;0.24;0.133;0.0938;0.521;0.464;78.563;118067
pop_govno;Kendrick Lamar;YAH.;68;22uyC54d6XAPRTlc6IchaP;0.689;0.694;1;-7.913;1;0.185;0.613;0;0.222;0.621;70.041;160293
pop_govno;Kendrick Lamar;ELEMENT.;75;6rZssCJPEdQnyeEdNLKsr8;0.73;0.686;4;-4.713;0;0.491;0.219;0;0.211;0.479;189.889;208733
pop_govno;Kendrick Lamar;FEEL.;67;7Lb4aeK6E6QjNBIxxHQGek;0.733;0.785;0;-8.368;1;0.351;0.146;0;0.134;0.496;109.932;214827
pop_govno;Kendrick Lamar;LOYALTY. FEAT. RIHANNA.;79;7zjRBaNkVjk1vZ8JqxQIXO;0.681;0.523;9;-8.963;0;0.0542;0.021;0;0.178;0.44;110.812;227360
pop_govno;Kendrick Lamar;PRIDE.;69;5AL46kwqlBX7qWP3qUppJe;0.667;0.533;4;-7.005;0;0.0562;0.0817;8.03e-06;0.152;0.394;138.865;275253
pop_govno;Kendrick Lamar;HUMBLE.;88;7ujx3NYtwO2LkmKGz59mXp;0.906;0.625;1;-6.779;0;0.0903;0.000243;3.23e-05;0.0975;0.438;150.018;177000
pop_govno;Kendrick Lamar;LUST.;68;5BniTxgyzl4kPkXdiAAiEV;0.696;0.552;3;-9.371;0;0.511;0.199;0;0.111;0.615;94.126;307880
pop_govno;Kendrick Lamar;LOVE. FEAT. ZACARI.;77;5WkPWduQVV8fh7pppm1fqg;0.801;0.58;10;-7.311;1;0.1;0.289;0;0.153;0.779;126.062;213400
pop_govno;Kendrick Lamar;XXX. FEAT. U2.;69;73HCBO1XCKxNMTZLTFgs8A;0.573;0.627;8;-7.02;1;0.431;0.147;1.67e-06;0.111;0.288;170.1;254200
pop_govno;Kendrick Lamar;FEAR.;66;3SP0MlWYfu7xt1ZfMqBxh9;0.586;0.474;10;-7.063;0;0.274;0.616;1.04e-05;0.613;0.454;149.967;460573
pop_govno;Kendrick Lamar;GOD.;66;7ILDKRd8vc3qB749vDvuJd;0.707;0.553;0;-5.935;1;0.0827;0.0375;0;0.274;0.236;132.961;248827
pop_govno;Kendrick Lamar;DUCKWORTH.;66;0CA3A2LhGO9cdx6z5EETy2;0.549;0.736;1;-6.883;1;0.681;0.0457;0;0.267;0.63;177.021;248613
pop_govno;Ed Sheeran;Eraser;77;7oolFzHipTMg2nL7shhdz2;0.64;0.812;8;-5.647;0;0.0834;0.086;0;0.0509;0.914;86.013;227427
pop_govno;Ed Sheeran;Castle on the Hill;84;6PCUP3dWmTjcTtXY02oFdT;0.461;0.834;2;-4.868;1;0.0989;0.0232;1.14e-05;0.14;0.471;135.007;261154
pop_govno;Ed Sheeran;Dive;84;51ChrwmUPDJvedPQnIU8Ls;0.761;0.386;4;-6.158;1;0.0399;0.355;0;0.0953;0.526;134.943;238440
pop_govno;Ed Sheeran;Shape of You;93;7qiZfU4dY1lWllzX7mPBI3;0.825;0.652;1;-3.183;0;0.0802;0.581;0;0.0931;0.931;95.977;233713
pop_govno;Ed Sheeran;Perfect;97;0tgVpDi06FyKpA1z0VMD4v;0.599;0.448;8;-6.312;1;0.0232;0.163;0;0.106;0.168;95.05;263400
pop_govno;Ed Sheeran;Galway Girl;89;0afhq8XCExXpqazXczTSve;0.624;0.876;9;-3.374;1;0.1;0.0735;0;0.327;0.781;99.943;170827
pop_govno;Ed Sheeran;Happier;86;2RttW7RAu5nOAfq6YFvApB;0.522;0.385;0;-7.355;1;0.0288;0.536;0;0.135;0.236;89.792;207520
pop_govno;Ed Sheeran;New Man;79;5HDPtsnyb3maFmPL8LLUTG;0.78;0.745;7;-3.97;1;0.145;0.0559;0;0.0595;0.862;94.026;189280
pop_govno;Ed Sheeran;Hearts Don't Break Around Here;78;2dfHh7ECGxfNqZTQno09Vk;0.604;0.366;7;-7.881;1;0.0267;0.719;0;0.162;0.181;105.177;248413
pop_govno;Ed Sheeran;What Do I Know?;82;2pJZ1v8HezrAoZ0Fhzby92;0.838;0.492;1;-5.69;0;0.038;0.251;0;0.262;0.895;115.092;237333
pop_govno;Ed Sheeran;How Would You Feel (Paean);79;6PJ8FF6UR8FZXfEvpHkIVN;0.617;0.439;9;-5.63;1;0.0269;0.424;0;0.127;0.242;139.979;280533
pop_govno;Ed Sheeran;Supermarket Flowers;82;4VuS959DSpr82t3qBqCrWG;0.589;0.242;6;-10.517;1;0.0442;0.914;0;0.0887;0.257;89.749;221107
pop_govno;Ed Sheeran;Barcelona;79;3Lfiu5sZ4M4B6JaKMBc0FU;0.747;0.76;1;-4.294;1;0.187;0.448;0;0.153;0.682;99.975;191147
pop_govno;Ed Sheeran;Bibia Be Ye Ye;77;6SznMYPQJHzr3IwsAHLId2;0.738;0.677;7;-5.121;1;0.0824;0.52;0;0.133;0.882;127.067;176747
pop_govno;Ed Sheeran;Nancy Mulligan;78;35QZaWQRkmnAVqBF1TLCxQ;0.68;0.852;7;-4.35;1;0.0349;0.117;0;0.0866;0.858;101.993;179787
pop_govno;Ed Sheeran;Save Myself;78;6TIU9Ehmi6dMzZK73Ym4yj;0.552;0.29;10;-5.617;1;0.0448;0.85;0;0.227;0.481;78.842;247107
pop_govno;Ed Sheeran;One;72;5TvFfDlVoUWZvfqrhTJzD7;0.464;0.321;2;-11.12;1;0.0418;0.877;0;0.0789;0.307;93.528;252760
pop_govno;Ed Sheeran;I'm A Mess;75;0xCA70t1ZA4fa9UOE0lIJm;0.697;0.377;3;-7.755;1;0.0397;0.556;0;0.0999;0.374;138.754;244573
pop_govno;Ed Sheeran;Sing;75;6K8qKeWo5MsFED7wCR6Kop;0.818;0.67;8;-4.451;0;0.0472;0.304;1.22e-06;0.0601;0.939;119.988;235382
